smiles,TPSA,ROTB,AROM
Cc1ccc2c(Br)cc(Br)c(O)c2n1,33.120000000000005,0,2
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,111.13000000000001,1,3
CC(O)COc1ccccc1,29.46,3,1
O=P1(NCCCl)OCCCN1CCCl,41.57,5,0
C=CC(=C)C,0.0,1,0
CC(C)O,20.23,0,0
CC(C)OC(=O)Nc1cccc(Cl)c1,38.33,2,1
CC(C)OC(=O)Nc1ccccc1,38.33,2,1
CC=Cc1ccc2c(c1)OCO2,18.46,1,1
CCCC(CCC)C(=O)[O-],40.129999999999995,5,0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,75.00999999999999,2,2
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,52.6,2,2
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,71.3,6,1
CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,52.32,3,1
O=C(c1ccccc1)c1cc(Cl)ccc1O,37.3,2,2
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,110.38000000000001,1,0
Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,17.07,1,1
CC(C)C[P+](C)(CC(C)C)CC(C)C,0.0,6,0
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,374.13000000000005,12,0
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.0,28,0
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,78.90000000000002,21,1
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,126.69000000000001,6,1
Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,44.760000000000005,6,3
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,44.760000000000005,12,0
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,103.59,6,1
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,370.74,9,6
O=C(O)c1ccc(O)cc1O,77.76,1,1
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,160.88,2,2
CC1=CC(C)(C)Nc2ccccc21,12.03,0,1
Cc1cc(=O)oc2cc(O)cc(O)c12,70.67,0,2
CC(C)CNCC(C)C,12.03,4,0
CNC1(c2ccccc2Cl)CCCCC1=O,29.1,2,1
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,93.81,10,2
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,83.81,0,4
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,79.9,2,3
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,70.67,1,3
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,90.9,1,3
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,97.99000000000001,4,2
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,23.550000000000004,6,2
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,54.37,5,2
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,64.63,4,1
NC(=O)OCC(COC(N)=O)c1ccccc1,104.64000000000001,5,1
CCNC(C)Cc1cccc(C(F)(F)F)c1,12.03,4,1
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,67.75999999999999,3,1
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,56.790000000000006,8,1
CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,62.730000000000004,4,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,54.370000000000005,2,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,181.61999999999998,2,1
CCC1(C)CC(=O)NC(=O)C1,46.17,1,0
O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,44.81,6,2
NC(=S)NNC(N)=S,76.1,0,0
NC(=S)C(N)=S,52.04,0,0
CC1CN1P(=O)(N1CC1C)N1CC1C,26.099999999999994,3,0
O=C(Oc1ccccc1)Oc1ccccc1,35.53,2,2
C[Hg]Cl,0.0,0,0
S=c1[nH]cnc2[nH]cnc12,57.36,0,2
[Hg+2],0.0,0,0
CCCCCCCCCCCCNC(=N)N,61.900000000000006,11,0
CN(C)CCN(Cc1cccs1)c1ccccn1,19.37,6,2
COc1nn(CSP(=S)(OC)OC)c(=O)s1,62.580000000000005,6,1
NC1=NCC2c3ccccc3Cc3ccccc3N12,41.62,0,2
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,37.3,1,0
O=C([O-])CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1,110.05000000000001,11,1
O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,83.47,7,2
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,73.80000000000001,3,2
COc1ccc(C=CC(=O)OCCC(C)C)cc1,35.53,6,1
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,48.13,5,3
CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,66.01,1,1
Clc1ccc2cc3ccccc3cc2c1,0.0,0,3
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,8.809999999999999,3,1
F/C(COc1ccc2c(c1)[nH]c1ccccc12)=C1/CN2CCC1CC2,28.259999999999998,3,3
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,63.24,5,1
CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,6.48,12,0
CCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,91.19,4,1
Brc1c2ccccc2cc2ccccc12,0.0,0,3
CCO/C=C1\N=C(c2ccccc2)OC1=O,47.89,3,1
CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,53.6,6,2
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,101.73,7,1
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,38.77,4,1
Cc1cc(C)cc(C(=O)OC2C[C@@H]3CC[C@H](C2)N3C)c1,29.54,2,1
CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,57.2,1,0
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,83.56,5,2
CNC(=O)/C=C(\C)OP(=O)(OC)OC,73.86,5,0
Cc1occc1SSc1ccoc1C,26.28,3,2
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,92.34,7,2
CC=CC(=O)CC,17.07,2,0
CC1OCCC1=O,26.3,0,0
CC1CCCC(=O)C1=O,34.14,0,0
CC1=C(O)C(=O)OC1C,46.53,0,0
CCCCCc1ccco1,13.14,4,1
c1cnc2c(n1)CCCC2,25.78,0,1
CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,57.2,4,2
Cc1cc(S(=O)(=O)[O-])ccc1/N=N/c1c(O)ccc2ccccc12,102.15,3,3
Cc1ccc(N=Nc2c(O)ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c2O)c(C)c1,147.1,5,3
Nc1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,143.72000000000003,2,1
CCNc1nc(Cl)nc(NC(C)(C)C)n1,62.730000000000004,3,1
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,118.69,1,1
Oc1c(Cl)cc(Cl)c2cccnc12,33.120000000000005,0,2
NC(=O)OCC(O)COc1ccc(Cl)cc1,81.78000000000002,5,1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,6.48,4,2
CCCCCCCCCCCCCCn1cc[n+](C)c1,8.809999999999999,13,1
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],123.63,2,0
O=P(Cl)(Cl)Cl,17.07,0,0
CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,120.65,11,4
CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,35.53,5,1
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,777.9800000000005,21,10
CN(C)CCOC(c1ccccc1)c1ccccc1,12.47,6,2
COC(=O)c1ccc(C)cc1,26.3,1,1
CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,6.48,4,2
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,59.080000000000005,6,2
CC(=O)C=Cc1ccccc1,17.07,2,1
Cc1c[nH]c(=S)[nH]c1=O,48.65,0,1
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,55.38000000000001,4,4
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,94.83,12,0
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,97.99,12,0
CC12CCC(CC1)C(C)(C)O2,9.23,0,0
C=COCC1CCC(CO)CC1,29.46,4,0
CC(=O)/C=C/C1=C(C)CCCC1(C)C,17.07,2,0
CC(=O)NC1CCSC1=O,46.17,1,0
CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,20.23,4,2
CC1COc2ccccc2N1C(=O)C(Cl)Cl,29.54,1,1
CC(N)CN,52.04,1,0
CCC(C)O,20.23,1,0
CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,167.58,19,0
CC(O)CN,46.25,1,0
